,minutes,bonus,bps,total_points,output_clean_sheets
60037,64,0,15,2,0
60745,0,0,0,0,0
61407,0,0,0,0,0
62258,0,0,0,0,0
62928,90,0,14,2,0
63898,90,0,13,2,0
64872,90,0,8,2,0
64873,90,0,5,3,1
65834,90,0,15,2,0
65835,90,0,11,2,0
66612,6,0,3,1,0
67348,0,0,0,0,0
68201,90,0,3,1,0
68983,90,0,16,3,1
70122,90,0,6,2,0
70123,90,0,12,3,1
70882,90,0,5,2,0
70883,90,0,13,1,0
71982,36,0,3,1,0
72749,90,0,13,2,0
73326,34,0,3,1,0
73913,0,0,0,0,0
74512,0,0,0,0,0
75117,0,0,0,0,0
75735,0,0,0,0,0
76242,9,0,3,1,0
76805,1,0,3,1,0
77446,0,0,0,0,0
78088,0,0,0,0,0
78692,0,0,0,0,0
79317,4,0,3,1,0
79972,0,0,0,0,0
80632,29,0,3,1,0
81298,15,0,3,1,0
81969,7,0,3,1,0
82645,1,0,3,1,0
83376,32,0,-2,0,0
84181,0,0,0,0,0
84940,0,0,0,0,0
85710,90,0,6,3,1
86531,90,0,5,1,0
87299,90,0,13,2,1
88046,90,0,9,1,0
88047,78,0,7,2,0
88794,90,2,32,9,0
89647,90,0,11,5,1
90312,90,3,37,13,0
91282,57,0,-10,-2,0
92192,0,0,0,0,0
92948,0,0,0,0,0
93618,0,0,0,0,0
94320,90,0,14,2,0
95209,90,0,12,2,0
96059,90,2,44,13,0
96864,90,0,8,2,0
97761,90,0,9,2,0
98600,90,3,31,11,1
99156,90,0,7,2,0
99788,90,0,2,2,0
100417,90,0,10,2,0
101111,90,2,25,8,0
101819,79,0,14,2,0
102536,90,0,25,7,0
99636,0,0,0,0,0
100241,0,0,0,0,0
100930,0,0,0,0,0
101635,0,0,0,0,0
102352,0,0,0,0,0
22991,57,0,3,1,0
23530,51,0,1,0,0
24084,23,0,0,1,0
24646,0,0,0,0,0
25311,21,0,-6,-2,0
25901,0,0,0,0,0
26500,0,0,0,0,0
27100,0,0,0,0,0
27701,0,0,0,0,0
28297,19,0,3,1,0
28847,16,0,-1,1,0
29454,28,0,6,1,0
30061,0,0,0,0,0
30672,0,0,0,0,0
32308,4,0,3,1,0
32785,7,0,1,1,0
32786,19,0,6,1,0
33694,0,0,0,0,0
34338,0,0,0,0,0
34989,0,0,0,0,0
35653,0,0,0,0,0
36347,0,0,0,0,0
36348,0,0,0,0,0
37132,0,0,0,0,0
37938,0,0,0,0,0
37939,0,0,0,0,0
39656,0,0,0,0,0
40344,0,0,0,0,0
40628,0,0,0,0,0
41308,0,0,0,0,0
41999,0,0,0,0,0
42689,0,0,0,0,0
43867,0,0,0,0,0
44917,0,0,0,0,0
45493,0,0,0,0,0
46196,0,0,0,0,0
46909,0,0,0,0,0
67057,0,0,0,0,0
67881,0,0,0,0,0
68689,0,0,0,0,0
69433,0,0,0,0,0
70098,0,0,0,0,0
70099,0,0,0,0,0
71580,0,0,0,0,0
71967,0,0,0,0,0
47768,90,0,0,2,0
48341,90,0,14,5,0
48932,73,0,6,2,1
49536,90,0,6,2,1
50144,90,0,5,2,0
50756,90,0,6,2,0
51370,0,0,0,0,0
51988,1,0,3,1,0
